, country,amount
0,Algerien,314000.0
1,Australien,5659.0
2,Ägypten,22229.0
3,Belgien,123000.0
4,Brasilien,396000.0
5,Brunei Darussalam,443000.0
6,Dänemark,4336.0
7,Finnland,124000.0
8,Frankreich,15092.0
9,Heiliger Stuhl,13000.0
10,Indien,257000.0
11,Indonesien,3277.0
12,Irland,1213.0
13,Island,79000.0
14,Israel,23475.0
15,Italien,1765.0
16,Japan,801000.0
17,Jordanien,13959.0
18,Kanada,4444.0
19,Katar,99000.0
20,"Korea, Republik",3132.0
21,Kroatien,67000.0
22,Lettland,10915.0
23,Litauen,915000.0
24,Luxemburg,89000.0
25,Malaysia,3070.0
26,Malta,24000.0
27,Mexiko,8581.0
28,Montenegro,7000.0
29,Neuseeland,8000.0
30,Niederlande,17749.0
31,Norwegen,13561.0
32,Österreich,1385.0
33,Polen,2461.0
34,Portugal,730000.0
35,Rumänien,36815.0
36,Saudi-Arabien,159840.0
37,Schweden,1771.0
